id,username,acctdesc,location,language,following,followers,totaltweets,usercreatedts,verified,tweetcreatedts,retweetcount,favouritecount,text,hashtags,profilePic
<built-in function id>,jmcloutier,,"Edmonton, Alberta",,1175,205,7006,2008-03-25 19:01:01,False,2021-04-02 23:59:47,772,0,"We used this portable heart-lung machine as salvage therapy in a younger patients whose lungs had been damaged by #COVID. 

Until @ongov provides essential workers with #PaidSickDays, workplace protection &amp; access to vaccinations, this machine will continue to be used. https://t.co/JuAgPhFm8N","[{'text': 'COVID', 'indices': [129, 135]}]",http://pbs.twimg.com/profile_images/698283435018702848/GkRBebDt_normal.jpg
<built-in function id>,infrahumano,,Toronto,,1004,9080,212946,2013-09-21 01:15:36,False,2021-04-02 23:59:33,772,0,"We used this portable heart-lung machine as salvage therapy in a younger patients whose lungs had been damaged by #COVID. 
Until @ongov provides essential workers with #PaidSickDays, workplace protection &amp; access to vaccinations, this machine will continue to be used. https://t.co/JuAgPhFm8N","[{'text': 'COVID', 'indices': [129, 135]}]",http://pbs.twimg.com/profile_images/1246577577596260352/Zls-MzqG_normal.jpg
<built-in function id>,SkoczSteven,"Some know me as Suzuki Nathie, Emperor of Hawks. Greek-American. Interventionist and Anti-Populist. Pro #R2P. Staunchly Pro-DP. Quite vulgar.",Hawk Empire,,852,577,19355,2019-12-25 19:58:14,False,2021-04-02 23:59:29,56,0,"Stop comparing #COVID vaccines to the Holocaust. 
Stop comparing #CovidPassports to the yellow star. 
Stop comparing COVID passports to Jim Crow segregation practices. 
Knock this shit off. Your ignorance or manipulation of history is pissing me off.","[{'text': 'COVID', 'indices': [29, 35]}, {'text': 'CovidPassports', 'indices': [80, 95]}]",http://pbs.twimg.com/profile_images/1350267227216424962/aXvI3EUb_normal.jpg
<built-in function id>,frontline_RN,"Raised in Dundas, 1990 Nursing Graduate, Disney mom, Starbucks lover, Ed Sheeran fan #frontrowwinner","Hamilton, Ontario",,865,598,22411,2014-02-25 18:35:27,False,2021-04-02 23:59:26,772,0,"We used this portable heart-lung machine as salvage therapy in a younger patients whose lungs had been damaged by #COVID. 
Until @ongov provides essential workers with #PaidSickDays, workplace protection &amp; access to vaccinations, this machine will continue to be used. https://t.co/JuAgPhFm8N","[{'text': 'COVID', 'indices': [129, 135]}]",http://pbs.twimg.com/profile_images/1365710208132079616/RBlgo_wO_normal.jpg
<built-in function id>,linddaaal,,,,2,0,7,2020-07-31 12:12:15,False,2021-04-02 23:59:14,0,0,Only in Australia #covid #sahealth #meme https://t.co/FT6DLtRVze,"[{'text': 'covid', 'indices': [18, 24]}, {'text': 'sahealth', 'indices': [25, 34]}, {'text': 'meme', 'indices': [35, 40]}]",http://pbs.twimg.com/profile_images/1316702462028382208/7a4F0wxL_normal.jpg
<built-in function id>,MGDezigns,https://t.co/w1pX3mzBO2 #Invitations #Weddings #Bridal #weddinginvitations #weddingstationery #smallbiz #zazzle #Gifts #womeninbiz #etsy #mompreneur,Online,,9265,11143,386817,2013-06-05 20:18:51,False,2021-04-02 23:59:06,0,0,Blue Sea Glitter Mermaid Fish Scales Pattern Premium Face Mask  https://t.co/e9fotp9Q7Q #mermaids #fantasy #glitter #glam #covid #facemasks #covid19 #coronavirus #socialdistancing,"[{'text': 'mermaids', 'indices': [88, 97]}, {'text': 'fantasy', 'indices': [98, 106]}, {'text': 'glitter', 'indices': [107, 115]}, {'text': 'glam', 'indices': [116, 121]}, {'text': 'covid', 'indices': [122, 128]}, {'text': 'facemasks', 'indices': [129, 139]}, {'text': 'covid19', 'indices': [140, 148]}, {'text': 'coronavirus', 'indices': [149, 161]}, {'text': 'socialdistancing', 'indices': [162, 179]}]",http://pbs.twimg.com/profile_images/963148398189715456/1QNDcj_j_normal.jpg
<built-in function id>,DFisman,"Professor, interested in plagues, pestilences and politics.
""One of the most dangerous Canadians""-- Ontario MPP (sic) Randy Hillier",Chelm,,8525,63489,24583,2019-02-15 00:32:14,True,2021-04-02 23:58:51,772,0,"We used this portable heart-lung machine as salvage therapy in a younger patients whose lungs had been damaged by #COVID. 
Until @ongov provides essential workers with #PaidSickDays, workplace protection &amp; access to vaccinations, this machine will continue to be used. https://t.co/JuAgPhFm8N","[{'text': 'COVID', 'indices': [129, 135]}]",http://pbs.twimg.com/profile_images/1355692797865684994/HWolrsDB_normal.jpg
<built-in function id>,Shel988,,,,229,38,1422,2013-04-13 17:49:49,False,2021-04-02 23:58:47,2255,0,"This is the story (shared with permission) of a patient in her 40s with #COVID we just intubated. 
If @ongov provided essential workers with better protection, she would be at home with her family. https://t.co/KfjFJPZYeu","[{'text': 'COVID', 'indices': [87, 93]}]",http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
<built-in function id>,DoyleLeilani,"Anesthesiologist, Flight Surgeon, Forward AE, CCAE, austere military DCR/DCS junkie, Canadian Armed Forces, CMERT. Opinions are my own. She/her","Ontario, Canada",,767,2764,17888,2014-01-25 14:18:29,False,2021-04-02 23:58:38,772,0,"We used this portable heart-lung machine as salvage therapy in a younger patients whose lungs had been damaged by #COVID. 
Until @ongov provides essential workers with #PaidSickDays, workplace protection &amp; access to vaccinations, this machine will continue to be used. https://t.co/JuAgPhFm8N","[{'text': 'COVID', 'indices': [129, 135]}]",http://pbs.twimg.com/profile_images/1101641912237273088/skX2oWuC_normal.jpg
<built-in function id>,dlomore,"“One believes things because one has been conditioned to believe them.”
― Aldous Huxley, Brave New World","Burlington, Ontario, Canada",,183,34,95,2010-04-05 01:15:04,False,2021-04-02 23:58:33,0,0,"Fuck this. Going motorcycling this weekend. Fuck staying home, fuck #truedope, fuck #covid, fuck no vaccines in #canadaria, fuck #OntarioMockdown.","[{'text': 'truedope', 'indices': [68, 77]}, {'text': 'covid', 'indices': [84, 90]}, {'text': 'canadaria', 'indices': [112, 122]}, {'text': 'OntarioMockdown', 'indices': [129, 145]}]",http://pbs.twimg.com/profile_images/3248587841/fd32cbf1802424a105e017d3ad8508c2_normal.jpeg
<built-in function id>,bluetrees14,just here to dunk on white people and complain about boring shit,,,374,137,17570,2020-05-09 19:41:20,False,2021-04-02 23:58:27,772,0,"We used this portable heart-lung machine as salvage therapy in a younger patients whose lungs had been damaged by #COVID. 
Until @ongov provides essential workers with #PaidSickDays, workplace protection &amp; access to vaccinations, this machine will continue to be used. https://t.co/JuAgPhFm8N","[{'text': 'COVID', 'indices': [129, 135]}]",http://pbs.twimg.com/profile_images/1271961147357515779/WJhYq1-P_normal.jpg
